"segment_id","start_lon","start_lat","end_lon","end_lat"
1,153.09128150587,-25.5988172014749,153.089540872534,-25.5977674632035
2,153.089540872534,-25.5977674632035,153.087393639114,-25.5950622573518
3,153.087393639114,-25.5950622573518,153.085709908099,-25.5921753301086
4,153.085709908099,-25.5921753301086,153.084074789047,-25.5892053286065
5,153.084074789047,-25.5892053286065,153.082606709465,-25.5862415481002
6,153.082606709465,-25.5862415481002,153.081701452414,-25.5838554524151
7,153.081701452414,-25.5838554524151,153.079289285404,-25.5815356346348
8,153.079289285404,-25.5815356346348,153.077349561457,-25.5791970383529
9,153.077349561457,-25.5791970383529,153.074367522141,-25.5775336765083
10,153.074367522141,-25.5775336765083,153.073930158727,-25.5746326401798
11,153.073930158727,-25.5746326401798,153.073265841391,-25.5716999245086
12,153.073265841391,-25.5716999245086,153.072103257853,-25.56881339926
13,153.072103257853,-25.56881339926,153.069233274674,-25.5668593662341
14,153.069233274674,-25.5668593662341,153.068292578321,-25.5638221807027
15,153.068292578321,-25.5638221807027,153.069662221991,-25.5614586046494
16,153.069662221991,-25.5614586046494,153.068681832699,-25.5597201435367
